63,48
49,52
53,53
49,51
52,50
52,58
47,50
46,50
47,54
54,53

91,92
51,57
53,63
51,61
52,54
54,52
52,54
52,59
52,50
50,52

87,84
47,50
50,43
46,49
51,49
47,53
49,47
50,51
49,52
47,54

84,82
50,56
48,48
46,48
48,50
50,50
46,49
47,51
48,49
46,47

0,84
52,50
45,48
49,48
53,46
47,51
48,49
50,50
48,46
49,45

91,84
49,51
48,60
47,51
47,46
46,53
51,55
75,51
51,54
54,55

87,82
54,44
51,55
50,50
46,51
51,55
47,51
63,55
67,49
53,58

62,57
57,56
56,63
59,68
55,64
47,54
88,92
53,60
54,57
58,63

94,94
88,60
54,49
51,61
56,60
53,58
56,61
47,88
50,62
50,49

0,0
83,86
84,86
84,82
42,53
84,90
84,83
88,84
92,83
92,94

89,87
96,90
58,62
61,54
54,45
58,54
91,89
91,90
61,56
92,88

0,84
61,49
89,85
60,52
0,88
91,87
87,49
94,59
90,86
90,85

89,82
85,89
85,88
87,88
89,88
84,84
88,86
88,94
95,83
88,86

88,86
92,86
85,90
87,85
84,89
86,86
89,87
88,67
89,87
91,0

85,84
87,91
84,96
88,85
87,85
90,87
93,0
86,87
89,92
92,88

91,95
50,59
93,94
90,91
55,57
91,47
96,91
96,91
46,59
92,91

97,90
91,89
43,56
61,65
52,45
55,58
94,92
53,90
94,91
93,57

90,90
91,87
89,88
87,84
85,85
54,56
47,83
47,54
88,84
52,88

86,84
50,49
55,51
49,59
54,49
47,49
48,46
48,50
53,49
52,54

90,94
56,50
52,52
51,52
48,52
48,57
52,51
56,52
51,49
48,48

85,83
57,62
58,57
45,41
50,48
45,46
49,44
44,50
49,48
48,48

87,85
50,46
51,53
49,47
48,48
48,48
51,49
48,48
53,50
52,50

0,0
44,52
47,46
48,49
50,49
44,49
50,51
50,47
48,49
51,45

87,85
48,44
78,51
50,47
48,47
46,44
48,50
51,53
49,55
45,47

0,0
52,48
49,46
48,47
52,49
57,54
52,57
52,48
51,50
52,48

84,82
48,48
54,54
48,45
49,47
49,49
46,56
52,47
49,47
48,48

86,83
47,50
42,48
50,46
46,48
48,43
47,47
46,48
45,44
48,46

87,85
42,49
50,49
50,46
47,60
47,0
55,48
48,0
46,58
53,49

0,0
51,47
55,44
49,50
47,48
51,46
51,51
48,46
46,49
51,46

140,85
50,54
71,55
47,48
61,46
0,46
47,0
50,55
49,35
49,50

51,59
0,48
59,57
0,55
57,55
58,60
54,57
44,74
49,55
60,44

0,0
85,82
85,83
88,83
85,86
85,86
84,85
84,89
85,93
88,91

85,83
85,83
88,84
84,84
46,50
86,83
87,94
84,84
91,88
89,91

0,0
54,43
55,56
56,26
46,60
52,61
88,57
94,92
93,98
88,86

87,86
93,85
86,91
87,84
58,60
46,0
49,54
51,47
53,61
59,0

88,85
90,87
67,59
59,87
0,47
60,6
99,53
87,86
88,91
58,87

96,82
44,57
81,87
57,47
53,56
128,47
44,56
89,91
91,88
84,82

85,83
84,83
45,46
86,86
83,83
47,84
87,86
83,82
83,52
86,90

86,82
52,43
45,99
44,44
42,53
42,41
43,50
46,47
51,43
42,45

58,59
51,55
58,60
43,46
48,47
63,49
49,61
47,59
43,43
50,48

0,84
52,48
84,84
86,83
85,84
83,82
82,83
83,83
83,84
0,83

88,84
89,85
45,56
52,47
50,54
47,66
54,72
58,65
48,51
49,52

89,85
88,86
89,87
93,86
44,54
89,88
55,59
93,94
89,85
88,91

86,102
83,83
56,47
53,60
46,56
83,82
47,49
52,84
49,47
84,81

86,85
84,83
47,54
56,55
54,50
49,49
82,84
61,48
56,54
52,53

88,87
87,90
53,50
85,87
57,95
88,84
85,89
86,87
86,88
84,88

47,46
84,84
48,54
87,87
85,82
62,51
89,96
104,84
82,86
84,84

84,84
85,82
43,41
42,49
53,54
44,44
85,83
49,54
59,44
56,47

0,0
88,88
92,88
84,84
88,85
88,85
89,87
86,88
88,107
86,85

58,45
43,56
87,86
53,56
44,54
48,59
89,95
91,91
89,89
90,90

49,54
46,138
49,49
47,50
48,56
58,54
54,51
54,49
0,46
48,59

